id,cate_id,word,label,tag
11,1428,cong,None,O-None
11,1428,9h,None,O-None
11,1428,cho,target,B-target
11,1428,series,target,I-target
11,1428,5,target,I-target
11,1428,4,target,I-target
11,1428,3,target,I-target
11,1428,2,target,I-target
11,1428,1,target,E-target
12,1428,bộ,None,O-None
12,1428,2,None,O-None
12,1428,miếng,type,B-type
12,1428,dán,type,I-type
12,1428,màn,type,I-type
12,1428,hình,type,E-type
12,1428,xiaomi,target,B-target
12,1428,amazfit,target,I-target
12,1428,gts,target,E-target
12,1428,chính,origin,B-origin
12,1428,hãng,origin,E-origin
12,1428,mijobs,brand,B-brand
13,1428,ốp,type,B-type
13,1428,bảo,subtype,B-subtype
13,1428,vệ,subtype,E-subtype
13,1428,apple,target,B-target
13,1428,watch,target,E-target
13,1428,full,numunit,B-numunit
13,1428,màn,numunit,E-numunit
13,1428,màu,color,B-color
13,1428,đen,color,I-color
13,1428,bạc,color,I-color
13,1428,vàng,color,I-color
13,1428,vàng,color,I-color
13,1428,hồng,color,I-color
13,1428,hồng,color,I-color
13,1428,trong,color,I-color
13,1428,suốt,color,E-color
14,1428,đồng,type,B-type
14,1428,hồ,type,E-type
14,1428,định,subtype,B-subtype
14,1428,vị,subtype,E-subtype
14,1428,trẻ,target,B-target
14,1428,em,target,E-target
14,1428,nghe,misc,B-misc
14,1428,gọi,misc,I-misc
14,1428,video,misc,E-misc
14,1428,wonlex,brand,B-brand
14,1428,kt11,name,B-name
14,1428,tốt,None,O-None
14,1428,nhất,None,O-None
14,1428,thị,None,O-None
14,1428,trường,None,O-None
14,1428,bảo,numunit,B-numunit
14,1428,hành,numunit,I-numunit
14,1428,chính,numunit,I-numunit
14,1428,hãng,numunit,I-numunit
14,1428,12,numunit,I-numunit
14,1428,tháng,numunit,E-numunit
15,1428,garmin,brand,B-brand
15,1428,vivomove,name,B-name
15,1428,hr,name,I-name
15,1428,sea,name,I-name
15,1428,premium,name,E-name
15,1428,-,None,O-None
15,1428,hàng,origin,B-origin
15,1428,chính,origin,I-origin
15,1428,hãng,origin,I-origin
15,1428,fpt,origin,E-origin
16,1428,dây,type,B-type
16,1428,đeo,type,E-type
16,1428,silicon,material,B-material
16,1428,cho,target,B-target
16,1428,apple,target,I-target
16,1428,watch,target,E-target
16,1428,42mm,numunit,B-numunit
16,1428,44mm,numunit,B-numunit
16,1428,hiệu,None,O-None
16,1428,hotcase,brand,B-brand
17,1428,ốp,type,B-type
17,1428,apple,target,B-target
17,1428,watch,target,I-target
17,1428,series,target,I-target
17,1428,3,target,I-target
17,1428,2,target,I-target
17,1428,1,target,E-target
17,1428,42mm,numunit,B-numunit
17,1428,spigen,brand,B-brand
17,1428,tough,name,B-name
17,1428,armor,name,E-name
18,1428,dây,type,B-type
18,1428,đeo,type,E-type
18,1428,silicon,material,B-material
18,1428,rainbow,name,B-name
18,1428,samsung,target,B-target
18,1428,galaxy,target,I-target
18,1428,active,target,I-target
18,1428,1,target,I-target
18,1428,/,target,I-target
18,1428,2,target,E-target
19,1428,đồng,type,B-type
19,1428,hồ,type,E-type
19,1428,điện,subtype,B-subtype
19,1428,thoại,subtype,E-subtype
19,1428,màn,misc,B-misc
19,1428,hình,misc,I-misc
19,1428,full,misc,I-misc
19,1428,hd,misc,E-misc
19,1428,cực,None,O-None
19,1428,nét,None,O-None
19,1428,mã,name,B-name
19,1428,sy-04,name,E-name
20,1428,đồng,type,B-type
20,1428,hồ,type,E-type
20,1428,thông,subtype,B-subtype
20,1428,minh,subtype,E-subtype
20,1428,gắn,misc,B-misc
20,1428,sim,misc,E-misc
20,1428,nghe,None,O-None
20,1428,gọi,None,O-None
20,1428,như,None,O-None
20,1428,điện,None,O-None
20,1428,thoại,None,O-None
21,1428,vòng,type,B-type
21,1428,đeo,type,I-type
21,1428,tay,type,E-type
21,1428,thông,misc,B-misc
21,1428,minh,misc,E-misc
21,1428,samsung,brand,B-brand
21,1428,galaxy,name,B-name
21,1428,fit,name,I-name
21,1428,sm-r370nzkaxxv,name,E-name
22,1428,kẹp,type,B-type
22,1428,cài,type,B-type
22,1428,h1,name,B-name
22,1428,phụ,type,B-type
22,1428,kiện,type,E-type
22,1428,dùng,target,B-target
22,1428,cho,target,I-target
22,1428,máy,target,I-target
22,1428,bộ,target,I-target
22,1428,đàm,target,E-target
22,1428,giá,None,O-None
22,1428,rẻ,None,O-None
22,1428,chính,origin,B-origin
22,1428,hãng,origin,E-origin
22,1428,hypersia,brand,B-brand
22,1428,h1,name,B-name
23,1428,tai,type,B-type
23,1428,nghe,type,E-type
23,1428,bluetooth,subtype,B-subtype
23,1428,chụp,subtype,B-subtype
23,1428,tai,subtype,E-subtype
23,1428,không,misc,B-misc
23,1428,dây,misc,E-misc
23,1428,có,misc,B-misc
23,1428,thể,misc,I-misc
23,1428,gập,misc,I-misc
23,1428,lại,misc,E-misc
23,1428,tn13,name,B-name
24,1428,đồng,type,B-type
24,1428,hồ,type,E-type
24,1428,thông,subtype,B-subtype
24,1428,minh,subtype,E-subtype
24,1428,thể,form,B-form
24,1428,thao,form,E-form
24,1428,m4,name,B-name
24,1428,kết,misc,B-misc
24,1428,nối,misc,I-misc
24,1428,bluetooth,misc,E-misc
24,1428,chống,misc,B-misc
24,1428,nước,misc,I-misc
24,1428,ip67,misc,E-misc
24,1428,hỗ,misc,B-misc
24,1428,trợ,misc,I-misc
24,1428,đo,misc,I-misc
24,1428,nhịp,misc,I-misc
24,1428,tim,misc,E-misc
25,1428,đồng,type,B-type
25,1428,hồ,type,E-type
25,1428,nam,gender,B-gender
25,1428,giá,None,O-None
25,1428,rẻ,None,O-None
25,1428,dưới,None,O-None
25,1428,200k,None,O-None
25,1428,đồng,type,B-type
25,1428,hồ,type,E-type
25,1428,cảm,subtype,B-subtype
25,1428,ứng,subtype,E-subtype
25,1428,chống,misc,B-misc
25,1428,nước,misc,E-misc
26,1428,vòng,type,B-type
26,1428,đeo,type,I-type
26,1428,tay,type,E-type
26,1428,thông,subtype,B-subtype
26,1428,minh,subtype,E-subtype
26,1428,p8,name,B-name
26,1428,cảm,misc,B-misc
26,1428,ứng,misc,I-misc
26,1428,toàn,misc,I-misc
26,1428,màn,misc,I-misc
26,1428,hình,misc,E-misc
26,1428,đồng,type,B-type
26,1428,hồ,type,E-type
26,1428,thể,form,B-form
26,1428,thao,form,E-form
26,1428,nhịp,None,O-None
26,1428,tim,None,O-None
26,1428,đa,misc,B-misc
26,1428,chức,misc,I-misc
26,1428,năng,misc,E-misc
27,1428,it,None,O-None
27,1428,smart,None,O-None
27,1428,đồng,type,B-type
27,1428,hồ,type,E-type
27,1428,thông,subtype,B-subtype
27,1428,minh,subtype,E-subtype
27,1428,kiêm,None,O-None
27,1428,tai,type,B-type
27,1428,nghe,type,E-type
27,1428,bluetooth,subtype,B-subtype
27,1428,2in1,None,O-None
27,1428,b2,name,B-name
28,1428,đồng,type,B-type
28,1428,hồ,type,E-type
28,1428,định,subtype,B-subtype
28,1428,vị,subtype,E-subtype
28,1428,thông,subtype,B-subtype
28,1428,minh,subtype,E-subtype
28,1428,q12,name,B-name
28,1428,cho,target,B-target
28,1428,bé,target,E-target
28,1428,chống,misc,B-misc
28,1428,nước,misc,E-misc
28,1428,có,attach,B-attach
28,1428,camera,attach,E-attach
28,1428,bảo,numunit,B-numunit
28,1428,hành,numunit,I-numunit
28,1428,12,numunit,I-numunit
28,1428,tháng,numunit,I-numunit
28,1428,1,numunit,I-numunit
28,1428,đổi,numunit,I-numunit
28,1428,1,numunit,E-numunit
29,1428,đồng,type,B-type
29,1428,hồ,type,E-type
29,1428,thông,subtype,B-subtype
29,1428,minh,subtype,E-subtype
29,1428,samsung,brand,B-brand
29,1428,fit,name,B-name
29,1428,2,name,I-name
29,1428,pro,name,I-name
29,1428,r365,name,I-name
29,1428,new,name,I-name
29,1428,nobox,name,E-name
30,3202,ốp,type,B-type
30,3202,lưng,type,E-type
30,3202,dành,target,B-target
30,3202,cho,target,I-target
30,3202,điện,target,I-target
30,3202,thoại,target,I-target
30,3202,oppo,target,I-target
30,3202,a3s,target,I-target
30,3202,-,target,I-target
30,3202,a5,target,I-target
30,3202,-,target,I-target
30,3202,realme,target,I-target
30,3202,c1,target,E-target
30,3202,-,None,O-None
30,3202,mẫu,name,B-name
30,3202,tết,name,I-name
30,3202,18,name,E-name
30,3202,-,None,O-None
30,3202,hàng,None,O-None
30,3202,đẹp,None,O-None
31,3202,ốp,type,B-type
31,3202,điện,subtype,B-subtype
31,3202,thoại,subtype,E-subtype
31,3202,dành,target,B-target
31,3202,cho,target,I-target
31,3202,máy,target,I-target
31,3202,samsung,target,I-target
31,3202,galaxy,target,I-target
31,3202,s10,target,I-target
31,3202,plus,target,E-target
31,3202,-,None,O-None
31,3202,heo,pattern,B-pattern
31,3202,dễ,pattern,I-pattern
31,3202,thương,pattern,E-pattern
31,3202,ms,name,B-name
31,3202,hdtdd057,name,E-name
32,3202,ốp,type,B-type
32,3202,điện,subtype,B-subtype
32,3202,thoại,subtype,E-subtype
32,3202,kính,material,B-material
32,3202,cường,material,I-material
32,3202,lực,material,E-material
32,3202,cho,target,B-target
32,3202,máy,target,I-target
32,3202,oppo,target,I-target
32,3202,a7,target,I-target
32,3202,2018,target,E-target
32,3202,-,None,O-None
32,3202,tôn,pattern,B-pattern
32,3202,giáo,pattern,E-pattern
32,3202,ms,name,B-name
32,3202,tgiao017,name,E-name
33,3202,ốp,type,B-type
33,3202,lưng,type,E-type
33,3202,viền,material,B-material
33,3202,tpu,material,E-material
33,3202,cho,target,B-target
33,3202,oppo,target,I-target
33,3202,f7,target,I-target
33,3202,london,target,I-target
33,3202,01,target,E-target
33,3202,chất,None,O-None
33,3202,lượng,None,O-None
34,3202,ốp,type,B-type
34,3202,kính,material,B-material
34,3202,cường,material,I-material
34,3202,lực,material,E-material
34,3202,cho,target,B-target
34,3202,điện,target,I-target
34,3202,thoại,target,I-target
34,3202,samsung,target,I-target
34,3202,galaxy,target,I-target
34,3202,j7,target,I-target
34,3202,prime,target,E-target
34,3202,-,None,O-None
34,3202,tôn,pattern,B-pattern
34,3202,giáo,pattern,E-pattern
34,3202,ms,name,B-name
34,3202,tgiao026,name,E-name
35,3202,ốp,type,B-type
35,3202,điện,subtype,B-subtype
35,3202,thoại,subtype,E-subtype
35,3202,dành,target,B-target
35,3202,cho,target,I-target
35,3202,máy,target,I-target
35,3202,xiaomi,target,I-target
35,3202,redmi,target,I-target
35,3202,k20,target,I-target
35,3202,pro,target,E-target
35,3202,-,None,O-None
35,3202,heo,pattern,B-pattern
35,3202,dễ,pattern,I-pattern
35,3202,thương,pattern,E-pattern
35,3202,ms,name,B-name
35,3202,hdtdd018,name,E-name
36,3202,ốp,type,B-type
36,3202,samsung,target,B-target
36,3202,j7,target,I-target
36,3202,pro,target,E-target
36,3202,họa,pattern,B-pattern
36,3202,tiết,pattern,I-pattern
36,3202,sup,pattern,I-pattern
36,3202,đỏ,pattern,E-pattern
36,3202,mã,name,B-name
36,3202,sp,name,I-name
36,3202,ssj7prohtsdo,name,E-name
36,3202,chất,None,O-None
36,3202,lượng,None,O-None
37,3202,ốp,type,B-type
37,3202,lưng,type,E-type
37,3202,viền,material,B-material
37,3202,tpu,material,E-material
37,3202,cho,target,B-target
37,3202,điện,target,I-target
37,3202,thoại,target,I-target
37,3202,samsung,target,I-target
37,3202,galaxy,target,I-target
37,3202,j7,target,I-target
37,3202,plus,target,E-target
37,3202,-,None,O-None
37,3202,game,name,B-name
37,3202,18,name,E-name
37,3202,-,None,O-None
37,3202,hàng,None,O-None
37,3202,đẹp,None,O-None
38,3202,ốp,type,B-type
38,3202,điện,subtype,B-subtype
38,3202,thoại,subtype,E-subtype
38,3202,kính,material,B-material
38,3202,cường,material,I-material
38,3202,lực,material,E-material
38,3202,cho,target,B-target
38,3202,máy,target,I-target
38,3202,huawei,target,I-target
38,3202,nova,target,I-target
38,3202,3i,target,E-target
38,3202,-,None,O-None
38,3202,thần,pattern,B-pattern
38,3202,tài,pattern,I-pattern
38,3202,kim,pattern,E-pattern
38,3202,ms,name,B-name
38,3202,ttkim056,name,E-name
39,3202,ốp,type,B-type
39,3202,kính,material,B-material
39,3202,cường,material,I-material
39,3202,lực,material,E-material
39,3202,cho,target,B-target
39,3202,điện,target,I-target
39,3202,thoại,target,I-target
39,3202,oppo,target,I-target
39,3202,f11,target,I-target
39,3202,pro,target,E-target
39,3202,-,None,O-None
39,3202,long,pattern,B-pattern
39,3202,phượng,pattern,E-pattern
39,3202,ms,name,B-name
39,3202,lphuong050,name,E-name
40,3202,ốp,type,B-type
40,3202,lưng,type,E-type
40,3202,điện,subtype,B-subtype
40,3202,thoại,subtype,E-subtype
40,3202,xiaomi,target,B-target
40,3202,redmi,target,I-target
40,3202,note,target,I-target
40,3202,6,target,I-target
40,3202,pro,target,E-target
40,3202,-,None,O-None
40,3202,thần,pattern,B-pattern
40,3202,tài,pattern,I-pattern
40,3202,kim,pattern,E-pattern
40,3202,ms,name,B-name
40,3202,ttkim022,name,E-name
41,3202,ốp,type,B-type
41,3202,điện,subtype,B-subtype
41,3202,thoại,subtype,E-subtype
41,3202,kính,material,B-material
41,3202,cường,material,I-material
41,3202,lực,material,E-material
41,3202,cho,target,B-target
41,3202,máy,target,I-target
41,3202,samsung,target,I-target
41,3202,galaxy,target,I-target
41,3202,j3,target,I-target
41,3202,prime,target,E-target
41,3202,-,None,O-None
41,3202,7h,pattern,B-pattern
41,3202,sáng,pattern,E-pattern
41,3202,ms,name,B-name
41,3202,abudanh001,name,E-name
42,3202,ốp,type,B-type
42,3202,điện,subtype,B-subtype
42,3202,thoại,subtype,E-subtype
42,3202,dành,target,B-target
42,3202,cho,target,I-target
42,3202,máy,target,I-target
42,3202,samsung,target,I-target
42,3202,galaxy,target,I-target
42,3202,j6,target,I-target
42,3202,prime,target,E-target
42,3202,-,None,O-None
42,3202,đủ,pattern,B-pattern
42,3202,nắng,pattern,I-pattern
42,3202,thì,pattern,I-pattern
42,3202,hoa,pattern,I-pattern
42,3202,nở,pattern,E-pattern
42,3202,ms,name,B-name
42,3202,dnthn018,name,E-name
43,3202,ốp,type,B-type
43,3202,kính,material,B-material
43,3202,cường,material,I-material
43,3202,lực,material,E-material
43,3202,cho,target,B-target
43,3202,điện,target,I-target
43,3202,thoại,target,I-target
43,3202,samsung,target,I-target
43,3202,galaxy,target,I-target
43,3202,a7,target,I-target
43,3202,2018,target,I-target
43,3202,-,target,I-target
43,3202,a750,target,E-target
43,3202,-,None,O-None
43,3202,dễ,pattern,B-pattern
43,3202,thương,pattern,I-pattern
43,3202,muốn,pattern,I-pattern
43,3202,xỉu,pattern,E-pattern
43,3202,ms,name,B-name
43,3202,cute028,name,E-name
44,3202,ốp,type,B-type
44,3202,kính,material,B-material
44,3202,cường,material,I-material
44,3202,lực,material,E-material
44,3202,dành,target,B-target
44,3202,cho,target,I-target
44,3202,điện,target,I-target
44,3202,thoại,target,I-target
44,3202,samsung,target,I-target
44,3202,j8,target,E-target
44,3202,-,None,O-None
44,3202,heo,pattern,B-pattern
44,3202,hồng,pattern,E-pattern
44,3202,-,None,O-None
44,3202,hh002,name,B-name
44,3202,-,None,O-None
44,3202,hàng,None,O-None
44,3202,đẹp,None,O-None
45,3202,ốp,type,B-type
45,3202,điện,subtype,B-subtype
45,3202,thoại,subtype,E-subtype
45,3202,kính,material,B-material
45,3202,cường,material,I-material
45,3202,lực,material,E-material
45,3202,cho,target,B-target
45,3202,máy,target,I-target
45,3202,xiaomi,target,I-target
45,3202,redmi,target,I-target
45,3202,k20,target,I-target
45,3202,pro,target,E-target
45,3202,-,None,O-None
45,3202,btsj,pattern,B-pattern
45,3202,ms,name,B-name
45,3202,hoped1015,name,E-name
46,3202,ốp,type,B-type
46,3202,kính,material,B-material
46,3202,cường,material,I-material
46,3202,lực,material,E-material
46,3202,cho,target,B-target
46,3202,điện,target,I-target
46,3202,thoại,target,I-target
46,3202,samsung,target,I-target
46,3202,galaxy,target,I-target
46,3202,j2,target,I-target
46,3202,pro,target,E-target
46,3202,-,None,O-None
46,3202,sơn,pattern,B-pattern
46,3202,thủy,pattern,E-pattern
46,3202,ms,name,B-name
46,3202,sonthuy014,name,E-name
47,3202,ốp,type,B-type
47,3202,lưng,type,E-type
47,3202,viền,material,B-material
47,3202,tpu,material,E-material
47,3202,cao,None,O-None
47,3202,cấp,None,O-None
47,3202,cho,target,B-target
47,3202,điện,target,I-target
47,3202,thoại,target,I-target
47,3202,samsung,target,I-target
47,3202,galaxy,target,I-target
47,3202,j7,target,I-target
47,3202,prime,target,E-target
47,3202,-,None,O-None
47,3202,mã,pattern,B-pattern
47,3202,đáo,pattern,I-pattern
47,3202,thành,pattern,I-pattern
47,3202,công,pattern,E-pattern
47,3202,01,name,B-name
47,3202,-,None,O-None
47,3202,hàng,None,O-None
47,3202,chất,None,O-None
47,3202,lượng,None,O-None
47,3202,cao,None,O-None
48,3202,ốp,type,B-type
48,3202,điện,subtype,B-subtype
48,3202,thoại,subtype,E-subtype
48,3202,dành,target,B-target
48,3202,cho,target,I-target
48,3202,máy,target,I-target
48,3202,samsung,target,I-target
48,3202,galaxy,target,I-target
48,3202,j6,target,E-target
48,3202,-,None,O-None
48,3202,gấu,pattern,B-pattern
48,3202,bông,pattern,E-pattern
48,3202,1911,name,B-name
48,3202,ms,name,I-name
48,3202,ancd002,name,E-name
49,3202,ốp,type,B-type
49,3202,kính,material,B-material
49,3202,cường,material,I-material
49,3202,lực,material,E-material
49,3202,cho,target,B-target
49,3202,điện,target,I-target
49,3202,thoại,target,I-target
49,3202,oppo,target,I-target
49,3202,f11,target,E-target
49,3202,-,None,O-None
49,3202,tôn,pattern,B-pattern
49,3202,giáo,pattern,E-pattern
49,3202,ms,name,B-name
49,3202,tgiao094,name,E-name
50,3202,ốp,type,B-type
50,3202,kính,material,B-material
50,3202,cường,material,I-material
50,3202,lực,material,E-material
50,3202,cho,target,B-target
50,3202,điện,target,I-target
50,3202,thoại,target,I-target
50,3202,oppo,target,I-target
50,3202,a5,target,I-target
50,3202,-,target,I-target
50,3202,a3s,target,E-target
50,3202,-,None,O-None
50,3202,mã,pattern,B-pattern
50,3202,đáo,pattern,I-pattern
50,3202,thành,pattern,I-pattern
50,3202,công,pattern,E-pattern
50,3202,ms,name,B-name
50,3202,mdtc112,name,E-name
51,3202,ốp,type,B-type
51,3202,kính,material,B-material
51,3202,in,pattern,B-pattern
51,3202,hình,pattern,I-pattern
51,3202,tết,pattern,E-pattern
51,3202,iphone,target,B-target
51,3202,11,target,E-target
51,3202,mẫu,name,B-name
51,3202,49,name,E-name
51,3202,+,None,O-None
51,3202,tặng,None,O-None
51,3202,kính,None,O-None
51,3202,cường,None,O-None
51,3202,lực,None,O-None
51,3202,full,None,O-None
51,3202,màn,None,O-None
51,3202,hình,None,O-None
52,3202,ốp,type,B-type
52,3202,lưng,type,E-type
52,3202,dẻo,material,B-material
52,3202,cho,target,B-target
52,3202,samsung,target,I-target
52,3202,galaxy,target,I-target
52,3202,j7,target,I-target
52,3202,2016,target,E-target
52,3202,panda,pattern,B-pattern
52,3202,03,name,B-name
52,3202,-,None,O-None
52,3202,hàng,None,O-None
52,3202,đẹp,None,O-None
53,3202,huawei,target,B-target
53,3202,p30,target,I-target
53,3202,lite,target,E-target
53,3202,ốp,type,B-type
53,3202,lưng,type,E-type
53,3202,nhựa,material,B-material
53,3202,dẻo,material,I-material
53,3202,tpu,material,E-material
53,3202,có,None,O-None
53,3202,viền,attach,B-attach
53,3202,bảo,attach,I-attach
53,3202,vệ,attach,I-attach
53,3202,kính,attach,I-attach
53,3202,camera,attach,E-attach
54,3202,ốp,type,B-type
54,3202,lưng,type,E-type
54,3202,dành,target,B-target
54,3202,cho,target,I-target
54,3202,samsung,target,I-target
54,3202,galaxy,target,I-target
54,3202,a7,target,I-target
54,3202,2017,target,E-target
54,3202,-,None,O-None
54,3202,cô,pattern,B-pattern
54,3202,gái,pattern,I-pattern
54,3202,hai,pattern,I-pattern
54,3202,dây,pattern,I-pattern
54,3202,đầm,pattern,I-pattern
54,3202,đỏ,pattern,E-pattern
54,3202,-,None,O-None
54,3202,hàng,None,O-None
54,3202,chất,None,O-None
54,3202,lượng,None,O-None
54,3202,cao,None,O-None
55,3202,ốp,type,B-type
55,3202,kính,material,B-material
55,3202,cường,material,I-material
55,3202,lực,material,E-material
55,3202,cho,target,B-target
55,3202,điện,target,I-target
55,3202,thoại,target,I-target
55,3202,oppo,target,I-target
55,3202,a79,target,E-target
55,3202,-,None,O-None
55,3202,dễ,pattern,B-pattern
55,3202,thương,pattern,I-pattern
55,3202,muốn,pattern,I-pattern
55,3202,xỉu,pattern,E-pattern
55,3202,ms,name,B-name
55,3202,cute015,name,E-name
56,3202,ốp,type,B-type
56,3202,lưng,type,E-type
56,3202,dành,target,B-target
56,3202,cho,target,I-target
56,3202,điện,target,I-target
56,3202,thoại,target,I-target
56,3202,samsung,target,I-target
56,3202,galaxy,target,I-target
56,3202,note,target,I-target
56,3202,3,target,E-target
56,3202,heo,pattern,B-pattern
56,3202,đốt,pattern,I-pattern
56,3202,pháo,pattern,E-pattern
56,3202,chất,None,O-None
56,3202,lượng,None,O-None
57,3202,ốp,type,B-type
57,3202,điện,subtype,B-subtype
57,3202,thoại,subtype,E-subtype
57,3202,dành,target,B-target
57,3202,cho,target,I-target
57,3202,máy,target,I-target
57,3202,samsung,target,I-target
57,3202,galaxy,target,I-target
57,3202,a3,target,I-target
57,3202,2016,target,E-target
57,3202,-,None,O-None
57,3202,ngắm,pattern,B-pattern
57,3202,hoàng,pattern,I-pattern
57,3202,hôn,pattern,E-pattern
57,3202,ms,name,B-name
57,3202,abwtu001,name,E-name
58,3202,ốp,type,B-type
58,3202,lưng,type,E-type
58,3202,nhựa,material,B-material
58,3202,dẻo,material,E-material
58,3202,realme,target,B-target
58,3202,2,target,E-target
58,3202,thư,pattern,B-pattern
58,3202,pháp,pattern,I-pattern
58,3202,cha,pattern,I-pattern
58,3202,mẹ,pattern,E-pattern
58,3202,mã,name,B-name
58,3202,sp,name,I-name
58,3202,rm2-tpcm,name,E-name
58,3202,-,None,O-None
58,3202,hàng,None,O-None
58,3202,chất,None,O-None
58,3202,lượng,None,O-None
58,3202,cao,None,O-None
59,3202,ốp,type,B-type
59,3202,điện,subtype,B-subtype
59,3202,thoại,subtype,E-subtype
